"cjis_code","COMAR","offense_literal","source","fel_mis","max_term","min_term","type","seriousness","fine"
"2-1065","193","Harboring, Escape, and
Contraband
Contraband--deliver, possess, with
intent to deliver, conceal, receive
contraband to effect an escape","CR, §9-413","Felony","10Y","","Person","IV","$5,000"
"2-1070","193","Harboring, Escape, and
Contraband
Contraband--deliver, possess, with
intent to deliver, conceal, receive
contraband to effect an escape","CR, §9-413","Felony","10Y","","Person","IV","$5,000"
"2-1075","193","Harboring, Escape, and
Contraband
Contraband--deliver, possess, with
intent to deliver, conceal, receive
contraband to effect an escape","CR, §9-413","Felony","10Y","","Person","IV","$5,000"
"1-0615","194","Harboring, Escape, and
Contraband
Escape, 1st degree","CR, §9-404","Felony","10Y","","Person","IV","$20,000"
"2-1010","194","Harboring, Escape, and
Contraband
Escape, 1st degree","CR, §9-404","Felony","10Y","","Person","IV","$20,000"
"1-0766","195","Harboring, Escape, and
Contraband
Escape, 2nd degree","CR, §9-405","Misd.","3Y","","Person","VI","$5,000"
"2-1020","195","Harboring, Escape, and
Contraband
Escape, 2nd degree","CR, §9-405","Misd.","3Y","","Person","VI","$5,000"
"2-1025","195","Harboring, Escape, and
Contraband
Escape, 2nd degree","CR, §9-405","Misd.","3Y","","Person","VI","$5,000"
"2-1030","195","Harboring, Escape, and
Contraband
Escape, 2nd degree","CR, §9-405","Misd.","3Y","","Person","VI","$5,000"
"1-0600","196","Harboring, Escape, and
Contraband
Resisting or interfering with arrest","CR, §9-408","Misd.","3Y","","Person","VI","$5,000"
"1-1835","197","Harboring, Escape, and
Contraband
Contraband--deliver, possess with
intent to deliver, knowingly possess
contraband","CR, §9-412","Misd.","3Y","","Property","VI","$1,000"
"2-1080","197","Harboring, Escape, and
Contraband
Contraband--deliver, possess with
intent to deliver, knowingly possess
contraband","CR, §9-412","Misd.","3Y","","Property","VI","$1,000"
"2-1085","197","Harboring, Escape, and
Contraband
Contraband--deliver, possess with
intent to deliver, knowingly possess
contraband","CR, §9-412","Misd.","3Y","","Property","VI","$1,000"
"1-0724","198","Harboring, Escape, and
Contraband
Deliver, possess with intent to
deliver, receive alcoholic beverage","CR, §9-415","Misd.","3Y","","Property","VI","$1,000"
"2-1090","198","Harboring, Escape, and
Contraband
Deliver, possess with intent to
deliver, receive alcoholic beverage","CR, §9-415","Misd.","3Y","","Property","VI","$1,000"
"2-1092","198","Harboring, Escape, and
Contraband
Deliver, possess with intent to
deliver, receive alcoholic beverage","CR, §9-415","Misd.","3Y","","Property","VI","$1,000"
"1-0718","199","Harboring, Escape, and
Contraband
Deliver, possess with intent to
deliver, receive controlled dangerous
substance","CR, §9-416","Misd.","3Y","","Property","VI","$1,000"
"2-1095","199","Harboring, Escape, and
Contraband
Deliver, possess with intent to
deliver, receive controlled dangerous
substance","CR, §9-416","Misd.","3Y","","Property","VI","$1,000"
"2-1097","199","Harboring, Escape, and
Contraband
Deliver, possess with intent to
deliver, receive controlled dangerous
substance","CR, §9-416","Misd.","3Y","","Property","VI","$1,000"
"1-1327","199-1","Harboring, Escape, and
Contraband
Possess, possess with intent to
deliver, receive telecommunication
device or accessory","CR, §9-417","Misd.","5Y","","Property","VI","$3,000"
"1-1328","199-1","Harboring, Escape, and
Contraband
Possess, possess with intent to
deliver, receive telecommunication
device or accessory","CR, §9-417","Misd.","5Y","","Property","VI","$3,000"
"1-1329","199-1","Harboring, Escape, and
Contraband
Possess, possess with intent to
deliver, receive telecommunication
device or accessory","CR, §9-417","Misd.","5Y","","Property","VI","$3,000"
"1-1330","199-1","Harboring, Escape, and
Contraband
Possess, possess with intent to
deliver, receive telecommunication
device or accessory","CR, §9-417","Misd.","5Y","","Property","VI","$3,000"
"1-0334","2","Abuse and Other Offensive
Conduct
Child Abuse--physical, 1st degree","CR, §3-
601(b)(2)(i)","Felony","25Y *","","Person","II",""
"1-0173","2-1","Abuse and Other Offensive
Conduct
Child Abuse--physical, 2nd degree","CR, §3-601(d)","Felony","15Y","","Person","IV",""
"1-3802","2-1","Abuse and Other Offensive
Conduct
Child Abuse--physical, 2nd degree","CR, §3-601(d)","Felony","15Y","","Person","IV",""
"2-0999","20","Assault and Other Bodily
Woundings
Poisoning--attempted","CR, §3-213","Felony","10Y","","Person","II",""
"1-4904","200","Harboring, Escape, and
Contraband
Harbor fleeing felon","CR, §9-402","Misd.","1Y","","Person","VII","$1,000"
"1-0232","201","Harboring, Escape, and
Contraband
Harbor felon/fugitive","CR, §9-402","Misd.","1Y","","Person","VII","$1,000"
"2-4904","202","Harboring, Escape, and
Contraband
Harboring--prison escapee","CR, §9-403","Misd.","1Y","","Person","VII","$1,000"
"","203","Harboring, Escape, and
Contraband
Violate Home Detention Program","CS, §3-409","Misd.","1Y","","Person","VII",""
"","204","Hate Crimes
Crimes against persons, groups, or
property because of race, color,
religious beliefs, sexual orientation,
gender, disability, national origin, or
homelessness--resulting in death","CR, §10-304(2)(ii)
CR, §10-306(b)(2)
(penalty)","Felony","20Y","","Person","III","$20,000"
"","205","Hate Crimes
Crimes against persons, groups, or
property because of race, color,
religious beliefs, sexual orientation,
gender, disability, national origin, or
homelessness--involving separate
felony","CR, §10-304(2)(i)
CR, §10-306(b)(1)
(penalty)","Felony","10Y","","Person","IV","$10,000"
"1-0435","206","Hate Crimes
Crimes against persons, groups, or
property because of race, color,
religious beliefs, sexual orientation,
gender, disability, national origin, or
homelessness","CR, §10-306(a)
(penalty)","Misd.","3Y","","Person","V","$5,000"
"1-0436","206","Hate Crimes
Crimes against persons, groups, or
property because of race, color,
religious beliefs, sexual orientation,
gender, disability, national origin, or
homelessness","CR, §10-306(a)
(penalty)","Misd.","3Y","","Person","V","$5,000"
"1-0437","206","Hate Crimes
Crimes against persons, groups, or
property because of race, color,
religious beliefs, sexual orientation,
gender, disability, national origin, or
homelessness","CR, §10-306(a)
(penalty)","Misd.","3Y","","Person","V","$5,000"
"2-0251","206","Hate Crimes
Crimes against persons, groups, or
property because of race, color,
religious beliefs, sexual orientation,
gender, disability, national origin, or
homelessness","CR, §10-306(a)
(penalty)","Misd.","3Y","","Person","V","$5,000"
"2-0252","206","Hate Crimes
Crimes against persons, groups, or
property because of race, color,
religious beliefs, sexual orientation,
gender, disability, national origin, or
homelessness","CR, §10-306(a)
(penalty)","Misd.","3Y","","Person","V","$5,000"
"1-1359","206-1","Identity Fraud
Possess, obtain personally
identifying information or willfully
assume the identity of another,
benefit $100,000 or greater","CR, §8-301(b), (c)
CR, §8-
301(g)(1)(iii)
(penalty)","Felony","20Y","","Property","III","$25,000"
"1-1366","206-1","Identity Fraud
Possess, obtain personally
identifying information or willfully
assume the identity of another,
benefit $100,000 or greater","CR, §8-301(b), (c)
CR, §8-
301(g)(1)(iii)
(penalty)","Felony","20Y","","Property","III","$25,000"
"1-1370","206-1","Identity Fraud
Possess, obtain personally
identifying information or willfully
assume the identity of another,
benefit $100,000 or greater","CR, §8-301(b), (c)
CR, §8-
301(g)(1)(iii)
(penalty)","Felony","20Y","","Property","III","$25,000"
"1-1360","206-2","Identity Fraud
Possess, obtain personally
identifying information or willfully
assume the identity of another,
benefit at least $25,000 but less than
$100,000","CR, §8-301(b), (c)
CR, §8-
301(g)(1)(ii)
(penalty)","Felony","10Y","","Property","V","$15,000"
"1-1367","206-2","Identity Fraud
Possess, obtain personally
identifying information or willfully
assume the identity of another,
benefit at least $25,000 but less than
$100,000","CR, §8-301(b), (c)
CR, §8-
301(g)(1)(ii)
(penalty)","Felony","10Y","","Property","V","$15,000"
"1-1371","206-2","Identity Fraud
Possess, obtain personally
identifying information or willfully
assume the identity of another,
benefit at least $25,000 but less than
$100,000","CR, §8-301(b), (c)
CR, §8-
301(g)(1)(ii)
(penalty)","Felony","10Y","","Property","V","$15,000"
"1-1361","206-3","Identity Fraud
Possess, obtain personally
identifying information or willfully
assume the identity of another,
benefit at least $1,500 but less than
$25,000","CR, §8-301(b), (c)
CR, §8-
301(g)(1)(i)
(penalty)","Felony","5Y","","Property","VI","$10,000"
"1-1368","206-3","Identity Fraud
Possess, obtain personally
identifying information or willfully
assume the identity of another,
benefit at least $1,500 but less than
$25,000","CR, §8-301(b), (c)
CR, §8-
301(g)(1)(i)
(penalty)","Felony","5Y","","Property","VI","$10,000"
"1-1372","206-3","Identity Fraud
Possess, obtain personally
identifying information or willfully
assume the identity of another,
benefit at least $1,500 but less than
$25,000","CR, §8-301(b), (c)
CR, §8-
301(g)(1)(i)
(penalty)","Felony","5Y","","Property","VI","$10,000"
"1-1362","206-4","Identity Fraud
Possess, obtain personally
identifying information or willfully
assume the identity of another,
benefit at least $100 but less than
$1,500","CR, §8-301(b), (c)
CR, §8-301(g)(2)
(penalty)","Misd.","1Y","","Property","VII","$500"
"1-1369","206-4","Identity Fraud
Possess, obtain personally
identifying information or willfully
assume the identity of another,
benefit at least $100 but less than
$1,500","CR, §8-301(b), (c)
CR, §8-301(g)(2)
(penalty)","Misd.","1Y","","Property","VII","$500"
"1-1373","206-4","Identity Fraud
Possess, obtain personally
identifying information or willfully
assume the identity of another,
benefit at least $100 but less than
$1,500","CR, §8-301(b), (c)
CR, §8-301(g)(2)
(penalty)","Misd.","1Y","","Property","VII","$500"
"1-1374","206-5","Identity Fraud
Use a re-encoder or skimming
device for purpose of identity theft,
benefit $100,000 or greater","CR, §8-301(d)
CR, §8-
301(g)(1)(iii)
(penalty)","Felony","20Y","","Property","III","$25,000"
"1-1379","206-5","Identity Fraud
Use a re-encoder or skimming
device for purpose of identity theft,
benefit $100,000 or greater","CR, §8-301(d)
CR, §8-
301(g)(1)(iii)
(penalty)","Felony","20Y","","Property","III","$25,000"
"1-1376","206-6","Identity Fraud
Use a re-encoder or skimming
device for purpose of identity theft,
benefit at least $25,000 but less than
$100,000","CR, §8-301(d)
CR, §8-
301(g)(1)(ii)
(penalty)","Felony","10Y","","Property","V","$15,000"
"1-1380","206-6","Identity Fraud
Use a re-encoder or skimming
device for purpose of identity theft,
benefit at least $25,000 but less than
$100,000","CR, §8-301(d)
CR, §8-
301(g)(1)(ii)
(penalty)","Felony","10Y","","Property","V","$15,000"
"3-0999","21","Assault and Other Bodily
Woundings
Poisoning--contaminating water,
food, etc.","CR, §3-214","Felony","20Y","","Person","II",""
"1-1571","211","Influencing or Intimidating
Judicial Process
Intimidating or corrupting jurors,
etc.; obstructing justice","CR, §9-305(c)(1)","Misd.","10Y","","Person","IV","$5,000"
"1-1572","211","Influencing or Intimidating
Judicial Process
Intimidating or corrupting jurors,
etc.; obstructing justice","CR, §9-305(c)(1)","Misd.","10Y","","Person","IV","$5,000"
"2-5006","212","Influencing or Intimidating
Judicial Process
Obstructing justice","CR, §9-306(a)","Misd.","5Y","","Person","V","$10,000"
"1-1567","213","Influencing or Intimidating
Judicial Process
Retaliation for testimony, reporting
a crime, performance of juror’s or
officer of the court’s duties","CR, §9-303(c)(1)","Misd.","10Y","","Person","IV","$5,000"
"1-1568","213","Influencing or Intimidating
Judicial Process
Retaliation for testimony, reporting
a crime, performance of juror’s or
officer of the court’s duties","CR, §9-303(c)(1)","Misd.","10Y","","Person","IV","$5,000"
"1-1569","213","Influencing or Intimidating
Judicial Process
Retaliation for testimony, reporting
a crime, performance of juror’s or
officer of the court’s duties","CR, §9-303(c)(1)","Misd.","10Y","","Person","IV","$5,000"
"1-1570","213","Influencing or Intimidating
Judicial Process
Retaliation for testimony, reporting
a crime, performance of juror’s or
officer of the court’s duties","CR, §9-303(c)(1)","Misd.","10Y","","Person","IV","$5,000"
"1-0357","215-1","Influencing or Intimidating
Judicial Process
Retaliation for testimony, reporting
a crime, performance of juror’s or
officer of the court’s duties, related
to felony violation of Title 5 offense
or crime of violence","CR, §9-303(c)(2)","Felony","20Y","","Person","III",""
"1-0887","215-1","Influencing or Intimidating
Judicial Process
Retaliation for testimony, reporting
a crime, performance of juror’s or
officer of the court’s duties, related
to felony violation of Title 5 offense
or crime of violence","CR, §9-303(c)(2)","Felony","20Y","","Person","III",""
"1-0359","215-2","Influencing or Intimidating
Judicial Process
Intimidating or corrupting jurors in
connection with a Title 5 offense or
crime of violence","CR, §9-305(c)(2)","Felony","20Y","","Person","III",""
"1-0363","215-2","Influencing or Intimidating
Judicial Process
Intimidating or corrupting jurors in
connection with a Title 5 offense or
crime of violence","CR, §9-305(c)(2)","Felony","20Y","","Person","III",""
"1-1332","215-3","Influencing or Intimidating
Judicial Process
Tampering with or fabricating
physical evidence","CR, §9-307","Misd.","3Y","","Person","V","$5,000"
"1-1333","215-3","Influencing or Intimidating
Judicial Process
Tampering with or fabricating
physical evidence","CR, §9-307","Misd.","3Y","","Person","V","$5,000"
"1-1334","215-3","Influencing or Intimidating
Judicial Process
Tampering with or fabricating
physical evidence","CR, §9-307","Misd.","3Y","","Person","V","$5,000"
"1-0157","216","Interference with or Misuse of
Government Operations
Malfeasance, misconduct in office","Common law","Misd.","LIFE","","Person
Drug
Property","V",""
"2-0645","216","Interference with or Misuse of
Government Operations
Malfeasance, misconduct in office","Common law","Misd.","LIFE","","Person
Drug
Property","V",""
"1-0208","217","Interference with or Misuse of
Government Operations
False alarms, fire ambulance or
rescue squad calls","CR, §9-604(a)","Misd.","5Y","","Property","V","$5,000"
"1-5308","217","Interference with or Misuse of
Government Operations
False alarms, fire ambulance or
rescue squad calls","CR, §9-604(a)","Misd.","5Y","","Property","V","$5,000"
"1-0043","218","Interference with or Misuse of
Government Operations
Hinder police officer","Common law","Misd.","LIFE","","Person","VI",""
"1-0165","219","Interference with or Misuse of
Government Operations
Interference, obstruction or false
representation of fire or emergency
services personnel","PS, §6-602
PS, §7-402","Misd.","3Y","","Person","VII",""
"2-0249","219","Interference with or Misuse of
Government Operations
Interference, obstruction or false
representation of fire or emergency
services personnel","PS, §6-602
PS, §7-402","Misd.","3Y","","Person","VII",""
"4-5397","219","Interference with or Misuse of
Government Operations
Interference, obstruction or false
representation of fire or emergency
services personnel","PS, §6-602
PS, §7-402","Misd.","3Y","","Person","VII",""
"4-5398","219","Interference with or Misuse of
Government Operations
Interference, obstruction or false
representation of fire or emergency
services personnel","PS, §6-602
PS, §7-402","Misd.","3Y","","Person","VII",""
"4-5399","219","Interference with or Misuse of
Government Operations
Interference, obstruction or false
representation of fire or emergency
services personnel","PS, §6-602
PS, §7-402","Misd.","3Y","","Person","VII",""
"1-1420","22","Assault and other Bodily
Woundings
Assault, 1st degree","CR, §3-202","Felony","25Y *","","Person","III",""
"4-1005","220","Kidnapping and Related Crimes
Child younger than 16 years old","CR, §3-503(a)(2)","Felony","30Y *","","Person","II",""
"3-1005","221","Kidnapping and Related Crimes
Kidnapping--generally","CR, §3-502(a)","Felony","30Y *","","Person","II",""
"3-5730","222","Kidnapping and Related Crimes
False imprisonment by inmate","CS, §8-801(b)","Felony","30Y","","Person","II",""
"1-0163","223","Kidnapping and Related Crimes
Abduction--child younger than 12
years old","CR, §3-503(a)(1)","Felony","20Y *","","Person","III",""
"1-1005","223","Kidnapping and Related Crimes
Abduction--child younger than 12
years old","CR, §3-503(a)(1)","Felony","20Y *","","Person","III",""
"1-0042","224","Kidnapping and Related Crimes
False imprisonment","Common law","Misd.","LIFE","","Person","V",""
"1-0364","225","Kidnapping and Related Crimes
Abduction--child younger than16
years old by relative in State","FL, §9-304
FL, §9-307(a)
(penalty)","Misd.","30D","","Person","VII","$250"
"1-0365","225","Kidnapping and Related Crimes
Abduction--child younger than16
years old by relative in State","FL, §9-304
FL, §9-307(a)
(penalty)","Misd.","30D","","Person","VII","$250"
"1-0366","225","Kidnapping and Related Crimes
Abduction--child younger than16
years old by relative in State","FL, §9-304
FL, §9-307(a)
(penalty)","Misd.","30D","","Person","VII","$250"
"2-1005","225","Kidnapping and Related Crimes
Abduction--child younger than16
years old by relative in State","FL, §9-304
FL, §9-307(a)
(penalty)","Misd.","30D","","Person","VII","$250"
"1-0736","226","Kidnapping and Related Crimes
Abduction--child younger than 16
years old by relative outside State 30
days or less","FL, §9-305(a)
FL, §9-307(b)
(penalty)","Felony","1Y","","Person","VII","$1,000"
"1-0737","226","Kidnapping and Related Crimes
Abduction--child younger than 16
years old by relative outside State 30
days or less","FL, §9-305(a)
FL, §9-307(b)
(penalty)","Felony","1Y","","Person","VII","$1,000"
"1-0738","226","Kidnapping and Related Crimes
Abduction--child younger than 16
years old by relative outside State 30
days or less","FL, §9-305(a)
FL, §9-307(b)
(penalty)","Felony","1Y","","Person","VII","$1,000"
"1-0739","226","Kidnapping and Related Crimes
Abduction--child younger than 16
years old by relative outside State 30
days or less","FL, §9-305(a)
FL, §9-307(b)
(penalty)","Felony","1Y","","Person","VII","$1,000"
"1-0746","227","Kidnapping and Related Crimes
Abduction--child younger than16
years old by relative outside State
more than 30 days","FL, §9-305(a)
FL, §9-307(c)
(penalty)","Felony","3Y","","Person","VI","$2,500"
"1-0747","227","Kidnapping and Related Crimes
Abduction--child younger than16
years old by relative outside State
more than 30 days","FL, §9-305(a)
FL, §9-307(c)
(penalty)","Felony","3Y","","Person","VI","$2,500"
"1-0748","227","Kidnapping and Related Crimes
Abduction--child younger than16
years old by relative outside State
more than 30 days","FL, §9-305(a)
FL, §9-307(c)
(penalty)","Felony","3Y","","Person","VI","$2,500"
"1-0749","227","Kidnapping and Related Crimes
Abduction--child younger than16
years old by relative outside State
more than 30 days","FL, §9-305(a)
FL, §9-307(c)
(penalty)","Felony","3Y","","Person","VI","$2,500"
"1-0906","227-1","Kidnapping and Related Crimes
Abduction--International parental
kidnapping","FL, §9-305(b)
FL, §9-307(d)
(penalty)","Felony","5Y","","Person","V","$5,000"
"1-0286","228","Lotteries
Lottery offenses, subsequent","CR, §12-210","Misd.","5Y","","Property","VI","$5,000"
"1-0287","228","Lotteries
Lottery offenses, subsequent","CR, §12-210","Misd.","5Y","","Property","VI","$5,000"
"1-3915","228","Lotteries
Lottery offenses, subsequent","CR, §12-210","Misd.","5Y","","Property","VI","$5,000"
"2-3918","228","Lotteries
Lottery offenses, subsequent","CR, §12-210","Misd.","5Y","","Property","VI","$5,000"
"4-3921","228","Lotteries
Lottery offenses, subsequent","CR, §12-210","Misd.","5Y","","Property","VI","$5,000"
"5-3921","228","Lotteries
Lottery offenses, subsequent","CR, §12-210","Misd.","5Y","","Property","VI","$5,000"
"2-3925","229","Lotteries
Lotteries--hold lottery or sell lottery
device","CR, §12-203","Misd.","12M","","Property","VII","$200-
$1,000"
"2-3930","229","Lotteries
Lotteries--hold lottery or sell lottery
device","CR, §12-203","Misd.","12M","","Property","VII","$200-
$1,000"
"1-0286","230","Lotteries
Lotteries--importing lottery device
or possession of lottery records or
money","CR, §12-205","Misd.","1Y","","Property","VII","$1,000"
"1-0287","230","Lotteries
Lotteries--importing lottery device
or possession of lottery records or
money","CR, §12-205","Misd.","1Y","","Property","VII","$1,000"
"2-3918","230","Lotteries
Lotteries--importing lottery device
or possession of lottery records or
money","CR, §12-205","Misd.","1Y","","Property","VII","$1,000"
"4-3921","231","Lotteries
Lotteries--keep place for selling
lottery device or allow property to
be used for selling lottery device","CR, §12-204","Misd.","1Y","","Property","VII","$1,000"
"5-3921","231","Lotteries
Lotteries--keep place for selling
lottery device or allow property to
be used for selling lottery device","CR, §12-204","Misd.","1Y","","Property","VII","$1,000"
"1-0114","232","Lotteries
Prohibited acts relating to State
lottery","SG, §9-124","Misd.","3Y","","Property","VII","$2,500"
"2-1173","232","Lotteries
Prohibited acts relating to State
lottery","SG, §9-124","Misd.","3Y","","Property","VII","$2,500"
"2-5299","234","Machine Guns
Weapons--possession or use of a
machine gun in commission of a
crime of violence","CR, §4-404","Felony","20Y","","Person","III",""
"1-1314","235","Machine Guns
Possess, use a machine gun for an
aggressive purpose","CR, §4-405","Misd.","10Y","","Person","IV",""
"1-2903","236","Malicious Destruction and Related 
Crimes
Throwing missiles into occupied
vehicle or instrumentality of public
transportation","CR, §6-302(a)
NA
NA
NA
NA","Misd.","1Y","","Person","VII","$500"
"3-4025","237","Malicious Destruction and Related 
Crimes
Destruction of property, less than
$1,000","CR, §6-301(c)
NA
NA
NA","Misd.","60D","","Property","VII","$500"
"3-4030","238","Malicious Destruction and Related 
Crimes 
Destruction of property, $1,000 or
greater","CR, §6-301(b)

NA
NA","Misd.","3Y","","Property","VII","$2,500"
"3-4035","238","Malicious Destruction and Related 
Crimes 
Destruction of property, $1,000 or
greater","CR, §6-301(b)

NA
NA","Misd.","3Y","","Property","VII","$2,500"
"1-0291","239","Malicious Destruction and Related 
Crimes 
Serial numbers, removing, etc.","CR, §6-306(a)

NA","Misd.","18M","","Property","VII","$500"
"2-2800","239","Malicious Destruction and Related 
Crimes 
Serial numbers, removing, etc.","CR, §6-306(a)

NA","Misd.","18M","","Property","VII","$500"
"2-2810","239-1","Malicious Destruction and Related 
Crimes  
Sell or possess stolen serial number
or vehicle identification plate, etc.","CR, §6-307

NA
NA","Misd.","18M","","Property","VII","$500"
"2-2820","239-1","Malicious Destruction and Related 
Crimes  
Sell or possess stolen serial number
or vehicle identification plate, etc.","CR, §6-307

NA
NA","Misd.","18M","","Property","VII","$500"
"1-1415","24","Assault and Other Bodily
Woundings
Assault, 2nd degree","CR, §3-203","Misd.","10Y","","Person","V","$2,500"
"1-0910","240","Manslaughter and Related Crimes  
Manslaughter--voluntary","CR, §2-207
NA","Felony","10Y *","","Person","IV","$500"
"1-0911","241","Manslaughter and Related Crimes  
Manslaughter--involuntary","CR, §2-207
NA","Felony","10Y","","Person","IV","$500"
"1-0909","242","Manslaughter and Related Crimes  
Manslaughter--by vehicle or vessel,
1st offense","CR, §2-209(d)(1)
NA
NA","Felony","10Y","","Person","IV","$5,000"
"","242-1","Manslaughter and Related CrimesCR, §2-209(d)(2)
Manslaughter--by vehicle or vessel,
subsequent","NA
NA
NA","Felony","15Y","","Person","III","$10,000"
"1-1611","242-2","Manslaughter and Related Crimes  
Criminally negligent manslaughter
by vehicle or vessel, 1st offense","CR, §2-210(f)(1)
NA
NA","Misd.","3Y","","Person","VII","$5,000"
"","242-3","Manslaughter and Related CrimesCR, §2-210(f)(2)
Criminally negligent manslaughter
by vehicle or vessel, subsequent","NA
NA
NA","Felony","5Y","","Person","V","$10,000"
"1-0900","243","Manslaughter and Related Crimes  
Negligent homicide by motor
vehicle or vessel while under the
influence of alcohol, 1st offense","CR, §2-503(c)(1)
NA
NA
NA","Felony","5Y","","Person","V","$5,000"
"","243-1","Manslaughter and Related CrimesCR, §2-503(c)(2)
Negligent homicide by motor
vehicle or vessel while under the
influence of alcohol, subsequent","NA
NA
NA
NA","Felony","10Y","","Person","IV","$10,000"
"1-0693","243-2","Manslaughter and Related Crimes  
Negligent homicide by motor
vehicle or vessel while impaired by
alcohol, 1st offense","CR, §2-504(c)(1)
NA
NA
NA","Felony","3Y","","Person","VI","$5,000"
"","243-3","Manslaughter and Related Crimes
Negligent homicide by motor
vehicle or vessel while impaired by
alcohol, subsequent","CR, §2-504(c)(2)","Felony","5Y","","Person","V","$10,000"
"","243-4","Manslaughter and Related Crimes  1-0755
Negligent homicide by motor
vehicle or vessel while impaired by
drugs, 1st offense","CR, §2-505(c)(1)","Felony","3Y","","Person","VI","$5,000"
"","243-5","Manslaughter and Related Crimes
Negligent homicide by motor
vehicle or vessel while impaired by
drugs, subsequent","CR, §2-505(c)(2)","Felony","5Y","","Person","V","$10,000"
"","243-6","Manslaughter and Related Crimes  1-1436
Negligent homicide by motor
vehicle or vessel while impaired by
CDS, 1st offense","CR, §2-506(c)(1)","Felony","5Y","","Person","V","$5,000"
"","244","Manslaughter and Related Crimes
Negligent homicide by motor
vehicle or vessel while impaired by
CDS, subsequent","CR, §2-506(c)(2)","Felony","10Y","","Person","IV","$10,000"
"","244-1","Marriage, Crimes Against  1-3804
Bigamy","CR, §10-502(b)","Misd.","9Y","","Person","VI",""
"","244-2","Maryland Credit Services
Businesses Act
Violation of any provision of
Maryland Credit Services
Businesses Act","CL, §1
(penalty)","Misd.","3Y","","Property","VI","$5,000"
"","244-3","Motor Vehicle Offense
Driving while impaired by alcohol,
1st offense","TR, §21-
902(b)(1)(ii)(1)","Misd.","2M","","Person","VII","$500"
"","244-4","Motor Vehicle Offense
Driving while impaired by alcohol,
2nd offense","TR, §21-
902(b)(1)(ii)(2)","Misd.","1Y","","Person","VII","$500"
"","244-5","Motor Vehicle Offense
Driving while impaired by alcohol,
3rd or subsequent offense","TR, §21-
902(b)(1)(ii)(3)","Misd.","3Y","","Person","V","$3,000"
"","245","Motor Vehicle Offense
Driving while impaired by alcohol,
while transporting a minor, 1st
offense","TR, §21-
902(b)(2)(ii)(1)","Misd.","6M","","Person","VII","$1,000"
"","245-1","Motor Vehicle Offense
Driving while impaired by alcohol,
while transporting a minor, 2nd
offense","TR, §21-
902(b)(2)(ii)(2)","Misd.","1Y","","Person","VII","$2,000"
"","245-10","Motor Vehicle Offense
Driving while impaired by
controlled dangerous substance, 2nd
offense","TR, §21-
902(d)(1)(ii)(2)
TR, §21-
902(f)(3)(i)","Misd.","2Y","Within 5
years of
prior
conviction
--MM 5
days","Person","VI","$2,000"
"","245-11","Motor Vehicle Offense
Driving while impaired by
controlled dangerous substance, 3rd
or subsequent offense","TR, §21-
902(d)(1)(ii)(3)
TR, §27-
902(f)(3)(ii)","Misd.","3Y","Within 5
years of
prior
conviction
--MM 10
days","Person","V","$3,000"
"","245-12","Motor Vehicle Offense
Driving while impaired by
controlled dangerous substance,
while transporting a minor, 1st
offense","TR, §21-
902(d)(2)(ii)(1)","Misd.","2Y","","Person","VI","$2,000"
"","245-13","Motor Vehicle Offense
Driving while impaired by
controlled dangerous substance,
while transporting a minor, 2nd
offense","TR, §21-
902(d)(2)(ii)(2)
TR, §21-
902(f)(3)(i)","Misd.","3Y","Within 5
years of
prior
conviction
--MM 5
days","Person","V","$3,000"
"","245-14","Motor Vehicle Offense
Driving while impaired by
controlled dangerous substance,
while transporting a minor, 3rd or
subsequent offense","TR, §21-
902(d)(2)(ii)(3)
TR, §21-
902(f)(3)(ii)","Misd.","4Y","Within 5
years of
prior
conviction
--MM 10
days","Person","V","$4,000"
"","245-15","Motor Vehicle Offense
Driving while under the influence of
alcohol, 1st offense","TR, §21-
902(a)(1)(iii)(1)","Misd.","1Y","","Person","VII","$1,000"
"","245-16","Motor Vehicle Offense
Driving while under the influence of
alcohol, 2nd offense","TR, §21-
902(a)(1)(iii)(2)
TR, §21-
902(f)(2)(i)","Misd.","2Y","Within 5
years of
prior
conviction
--MM 5
days","Person","VI","$2,000"
"","245-17","Motor Vehicle Offense
Driving while under the influence of
alcohol, 3rd or subsequent offense","TR, §21-
902(a)(1)(iii)(3)
TR, §21-
902(f)(2)(ii)","Misd.","3Y","Within 5
years of
prior
conviction
--MM 10
days","Person","V","$3,000"
"","245-18","Motor Vehicle Offense
Driving while under the influence of
alcohol, while transporting a minor,
1st offense","TR, §21-
902(a)(2)(ii)(1)","Misd.","2Y","","Person","VI","$2,000"
"","245-19","Motor Vehicle Offense
Driving while under the influence of
alcohol, while transporting a minor,
2nd offense","TR, §21-
902(a)(2)(ii)(2)
TR, §21-
902(f)(2)(i)","Misd.","3Y","Within 5
years of
prior
conviction
--MM 5
days","Person","V","$3,000"
"","245-2","Motor Vehicle Offense
Driving while impaired by alcohol,
while transporting a minor, 3rd or
subsequent offense","TR, §21-
902(b)(2)(ii)(3)","Misd.","4Y","","Person","V","$4,000"
"","245-20","Motor Vehicle Offense
Driving while under the influence of
alcohol, while transporting a minor,
3rd or subsequent offense","TR, §21-
902(a)(2)(ii)(3)
TR, §21-
902(f)(2)(ii)","Misd.","4Y","Within 5
years of
prior
conviction
--MM 10
days","Person","V","$4,000"
"","245-3","Motor Vehicle Offense
Driving while impaired by drugs or
drugs and alcohol, 1st offense","TR, §21-
902(c)(1)(ii)(1)","Misd.","2M","","Person","VII","$500"
